12	2	PARTIDO POLÍTICO PERÚ PRIMERO	645
12	2	PARTIDO POLÍTICO PRIN	281
12	2	PARTIDO SICREO	0
12	2	PERÚ MODERNO	221
12	2	PODEMOS PERÚ	1076
12	2	PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO	8276
12	2	PROGRESEMOS	829
12	2	RENOVACIÓN POPULAR	54178
12	2	SALVEMOS AL PERÚ	243
12	2	UN CAMINO DIFERENTE	2745
12	2	UNIDAD NACIONAL	1315
12	2	VOTOS EN BLANCO	60941
12	2	VOTOS IMPUGNADOS	0
12	2	VOTOS NULOS	85846
13	1	AHORA NACIÓN - AN	1094503
13	1	ALIANZA ELECTORAL VENCEREMOS	141957
13	1	ALIANZA PARA EL PROGRESO	344920
13	1	AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL	106877
13	1	FE EN EL PERÚ	23342
13	1	FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ	241449
13	1	FUERZA POPULAR	1817571
13	1	FUERZA Y LIBERTAD	42361
13	1	JUNTOS POR EL PERÚ	1368331
13	1	LIBERTAD POPULAR	96368
13	1	PARTIDO APRISTA PERUANO	236319
13	1	PARTIDO CIUDADANOS POR EL PERÚ	0
13	1	PARTIDO CÍVICO OBRAS	1052839
13	1	PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ	11631
13	1	PARTIDO DEL BUEN GOBIERNO	1359738
13	1	PARTIDO DEMOCRATICO FEDERAL	20141
13	1	PARTIDO DEMOCRÁTICO SOMOS PERÚ	264053
13	1	PARTIDO DEMÓCRATA UNIDO PERÚ	81432
13	1	PARTIDO DEMÓCRATA VERDE	66822
13	1	PARTIDO FRENTE DE LA ESPERANZA 2021	215786
13	1	PARTIDO MORADO	77193
13	1	PARTIDO PATRIÓTICO DEL PERÚ	86927
13	1	PARTIDO PAÍS PARA TODOS	730089
13	1	PARTIDO POLÍTICO COOPERACIÓN POPULAR	146370
13	1	PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA	51970
13	1	PARTIDO POLÍTICO NACIONAL PERÚ LIBRE	121565
13	1	PARTIDO POLÍTICO PERÚ ACCIÓN	17825
13	1	PARTIDO POLÍTICO PERÚ PRIMERO	173460
13	1	PARTIDO POLÍTICO PRIN	24190
13	1	PARTIDO SICREO	220576
13	1	PERÚ MODERNO	16225
13	1	PODEMOS PERÚ	330841
13	1	PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO	387778
13	1	PROGRESEMOS	119299
13	1	RENOVACIÓN POPULAR	1404254
13	1	SALVEMOS AL PERÚ	18014
13	1	UN CAMINO DIFERENTE	112614
13	1	UNIDAD NACIONAL	62750
13	1	VOTOS EN BLANCO	2201597
13	1	VOTOS IMPUGNADOS	0
13	1	VOTOS NULOS	2519757
13	2	AHORA NACIÓN - AN	12033
13	2	ALIANZA ELECTORAL VENCEREMOS	1167
13	2	ALIANZA PARA EL PROGRESO	803
13	2	AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL	862
13	2	FE EN EL PERÚ	198
13	2	FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ	1125
13	2	FUERZA POPULAR	22873
13	2	FUERZA Y LIBERTAD	336
13	2	JUNTOS POR EL PERÚ	0
13	2	LIBERTAD POPULAR	0
13	2	PARTIDO APRISTA PERUANO	2867
13	2	PARTIDO CIUDADANOS POR EL PERÚ	0
13	2	PARTIDO CÍVICO OBRAS	13990
13	2	PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ	0
13	2	PARTIDO DEL BUEN GOBIERNO	16066
13	2	PARTIDO DEMOCRATICO FEDERAL	0
13	2	PARTIDO DEMOCRÁTICO SOMOS PERÚ	1126
13	2	PARTIDO DEMÓCRATA UNIDO PERÚ	909
13	2	PARTIDO DEMÓCRATA VERDE	648
13	2	PARTIDO FRENTE DE LA ESPERANZA 2021	1833
13	2	PARTIDO MORADO	964
13	2	PARTIDO PATRIÓTICO DEL PERÚ	681
13	2	PARTIDO PAÍS PARA TODOS	12756
13	2	PARTIDO POLÍTICO COOPERACIÓN POPULAR	809
13	2	PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA	512
13	2	PARTIDO POLÍTICO NACIONAL PERÚ LIBRE	810
13	2	PARTIDO POLÍTICO PERÚ ACCIÓN	250
13	2	PARTIDO POLÍTICO PERÚ PRIMERO	496
13	2	PARTIDO POLÍTICO PRIN	238
13	2	PARTIDO SICREO	1792
13	2	PERÚ MODERNO	0
13	2	PODEMOS PERÚ	906
13	2	PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO	5472
13	2	PROGRESEMOS	502
