10	1	Contabilizada	90148
10	1	Para envío al JEE	75
10	2	Contabilizada	2495
12	1	Contabilizada	80416
12	1	Para envío al JEE	9439
12	2	Contabilizada	2217
12	2	Para envío al JEE	183
13	1	Contabilizada	79275
13	1	Para envío al JEE	10551
13	2	Contabilizada	1486
13	2	Para envío al JEE	916
14	1	Contabilizada	80889
14	1	Para envío al JEE	8891
14	2	Contabilizada	1574
14	2	Para envío al JEE	826
15	1	Contabilizada	77678
15	1	Para envío al JEE	12063
15	2	Contabilizada	1608
15	2	Para envío al JEE	806
