DIPUTADOS | LORETO - ALTO AMAZONAS	39	39
DIPUTADOS | LORETO - MAYNAS	116	116
DIPUTADOS | OCEANÍA - AUSTRALIA	11	11
DIPUTADOS | OCEANÍA - NUEVA ZELANDA	3	3
DIPUTADOS | PIURA - AYABACA	326	326
DIPUTADOS | PIURA - HUANCABAMBA	247	247
DIPUTADOS | PIURA - MORROPÓN	461	461
DIPUTADOS | PIURA - PAITA	331	331
DIPUTADOS | PIURA - PIURA	1451	1451
DIPUTADOS | PIURA - SECHURA	192	192
DIPUTADOS | PIURA - SULLANA	885	885
DIPUTADOS | PIURA - TALARA	390	390
DIPUTADOS | PUNO - AZÁNGARO	336	336
DIPUTADOS | PUNO - CARABAYA	157	157
DIPUTADOS | PUNO - CHUCUITO	184	184
DIPUTADOS | PUNO - EL COLLAO	163	163
DIPUTADOS | PUNO - HUANCANÉ	186	186
DIPUTADOS | PUNO - LAMPA	137	137
DIPUTADOS | PUNO - MELGAR	192	192
DIPUTADOS | PUNO - MOHO	66	66
DIPUTADOS | PUNO - PUNO	583	583
DIPUTADOS | PUNO - SAN ANTONIO DE PUTINA	81	81
DIPUTADOS | PUNO - SAN ROMÁN	762	762
DIPUTADOS | PUNO - SANDIA	151	151
DIPUTADOS | PUNO - YUNGUYO	110	110
DIPUTADOS | SAN MARTÍN - BELLAVISTA	143	143
DIPUTADOS | SAN MARTÍN - EL DORADO	87	87
DIPUTADOS | SAN MARTÍN - HUALLAGA	87	87
DIPUTADOS | SAN MARTÍN - LAMAS	215	215
DIPUTADOS | SAN MARTÍN - MARISCAL CÁCERES	183	183
DIPUTADOS | SAN MARTÍN - MOYOBAMBA	325	325
DIPUTADOS | SAN MARTÍN - PICOTA	131	131
DIPUTADOS | SAN MARTÍN - RIOJA	370	370
DIPUTADOS | SAN MARTÍN - SAN MARTÍN	548	548
DIPUTADOS | SAN MARTÍN - TOCACHE	208	208
DIPUTADOS | TACNA - CANDARAVE	24	24
DIPUTADOS | TACNA - JORGE BASADRE	38	38
DIPUTADOS | TACNA - TACNA	932	932
DIPUTADOS | TACNA - TARATA	29	29
DIPUTADOS | TUMBES - CONTRALMIRANTE VILLAR	61	61
DIPUTADOS | TUMBES - TUMBES	428	428
DIPUTADOS | TUMBES - ZARUMILLA	137	137
DIPUTADOS | UCAYALI - ATALAYA	139	139
DIPUTADOS | UCAYALI - CORONEL PORTILLO	1126	1126
DIPUTADOS | UCAYALI - PADRE ABAD	210	210
DIPUTADOS | UCAYALI - PURÚS	12	12
DIPUTADOS | ÁFRICA - ARGELIA	1	1
DIPUTADOS | ÁFRICA - KENIA	1	1
DIPUTADOS | ÁFRICA - MARRUECOS	1	1
DIPUTADOS | ÁFRICA - REPÚBLICA ÁRABE DE EGIPTO	1	1
DIPUTADOS | ÁFRICA - SUDÁFRICA	1	1
PARLAMENTO | AMÉRICA - ANTILLAS HOLANDESAS	2	2
PARLAMENTO | AMÉRICA - ARGENTINA	297	297
PARLAMENTO | AMÉRICA - BOLIVIA	22	22
PARLAMENTO | AMÉRICA - BRASIL	44	44
PARLAMENTO | AMÉRICA - CANADÁ	52	52
PARLAMENTO | AMÉRICA - CHILE	255	255
PARLAMENTO | AMÉRICA - COLOMBIA	17	17
PARLAMENTO | AMÉRICA - COSTA RICA	7	7
PARLAMENTO | AMÉRICA - CUBA	1	1
PARLAMENTO | AMÉRICA - ECUADOR	16	16
PARLAMENTO | AMÉRICA - EL SALVADOR	1	1
PARLAMENTO | AMÉRICA - ESTADOS UNIDOS DE ÁMERICA	713	713
PARLAMENTO | AMÉRICA - GUATEMALA	2	2
PARLAMENTO | AMÉRICA - GUAYANA FRANCESA	2	2
PARLAMENTO | AMÉRICA - HONDURAS	1	1
PARLAMENTO | AMÉRICA - MÉXICO	14	14
PARLAMENTO | AMÉRICA - NICARAGUA	1	1
PARLAMENTO | AMÉRICA - PANAMÁ	10	10
PARLAMENTO | AMÉRICA - PARAGUAY	4	4
PARLAMENTO | AMÉRICA - PUERTO RICO	2	2
PARLAMENTO | AMÉRICA - REPÚBLICA DOMINICANA	4	4
PARLAMENTO | AMÉRICA - TRINIDAD Y TOBAGO	1	1
PARLAMENTO | AMÉRICA - URUGUAY	4	4
PARLAMENTO | ASIA - FILIPINAS	1	1
PARLAMENTO | ASIA - INDIA	1	1
PARLAMENTO | ASIA - INDONESIA	1	1
PARLAMENTO | ASIA - JAPÓN	81	81
PARLAMENTO | ASIA - MALASIA	1	1
PARLAMENTO | ASIA - REPUBLICA DE COREA	1	1
PARLAMENTO | ASIA - REPÚBLICA POPULAR CHINA	4	4
PARLAMENTO | ASIA - SINGAPUR	1	1
PARLAMENTO | ASIA - TAILANDIA	1	1
PARLAMENTO | ASIA - TURQUÍA	2	2
PARLAMENTO | ASIA - VIETNAM	1	1
PARLAMENTO | CALLAO - CALLAO	2873	2873
